timestamp,plugins_failed_to_compile_count,plugins_description_db_corrupted,plugins_code_db_corrupted,kbytes_received,kbytes_sent,avg_dns_lookup_time,num_dns_lookups,avg_rdns_lookup_time,num_rdns_lookups,nessus_cpu,cpu_load_avg,nessus_log_disk_free,nessus_log_disk_total,nessus_data_disk_free,nessus_data_disk_total,temp_disk_free,temp_disk_total,num_tcp_sessions,nessus_vmem,nessus_mem,sys_ram_used,sys_ram,sys_cores,num_hosts,num_scans
1711390908,0,0,0,1,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,247,148,,257804,255,0,0
1711390938,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,150,,257804,255,0,0
1711390968,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711390998,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,160,,257804,255,0,0
1711391028,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,160,,257804,255,0,0
1711391058,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391088,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391118,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391148,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391178,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391208,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391238,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391268,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391298,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391328,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391358,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391388,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
1711391418,0,0,0,0,0,0,0,0,0,0,0,529672,750920,529672,750920,529672,750920,0,255,161,,257804,255,0,0
